FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent,pop
39141,0.6,5.6,19.3,86,55.4,43089,648,78064
39145,0.7,6,21.7,87.6,50,35269,547,79499
39149,0.5,5,17.9,89,65.2,51145,685,49423
39151,0.7,4.6,21.3,87.4,63.5,44333,662,375586
39153,0.7,5.5,20.6,88.8,64.9,48252,730,541781
39155,0.9,3.9,19.2,88.8,56.7,41671,612,210312
39157,0.6,3.9,16.6,89.3,63,42636,627,92582
39159,0.5,3.7,21.2,84.8,65,62622,757,52300
39165,0.7,3.4,18.2,87.8,68.1,71134,895,212693
39169,0.6,4,16.3,87.2,64.5,47795,657,114520
39171,0.5,5.1,20.5,82.2,61.8,40593,600,37642
39173,0.4,8.5,23,79.7,67.1,50284,706,125488
40001,0.6,3.7,20.3,92.7,54.9,33900,514,22683
40003,0.3,,,,,,,5642
40011,0.4,,,,,,,11943
40013,0.7,6.1,22.3,80.6,61.2,37663,637,42416
40017,0.6,4.2,29,84.6,68.3,60978,805,115541
40037,0.8,4.4,24.7,88.9,58.5,41962,643,69967
40057,0.8,,,,,,,2922
40067,0.9,,,,,,,6472
40071,0.4,5.3,24.4,80.2,61,40097,597,46562
40073,0.5,,,,,,,15034
40075,0.5,,,,,,,9446
40077,0.6,,,,,,,11154
40079,0.7,5.4,22.6,87.2,52.4,34650,549,50384
40081,0.7,3,24.5,88.5,59,40915,551,34273
40083,0.6,3.3,25.9,84.2,60.7,53032,643,41848
40087,0.6,3.1,25.2,87.5,63,53638,673,34506
40093,0.3,,,,,,,7527
40095,0.6,,,,,,,15840
40101,0.7,4.4,24,84.8,54.8,38156,613,70990
40103,0.6,,,,,,,11561
40107,0.6,,,,,,,12191
40109,0.7,6.1,24.8,79.8,65.8,44271,744,718633
40111,0.7,5.2,24.2,81.5,54.9,37617,591,40069
40117,0.6,,,,,,,16577
40121,0.7,4.7,23.8,84.5,53.5,40689,655,45837
40125,0.7,4.9,25,85.5,58.4,41584,656,69442
